ID,Title,Award Category,Platform,Status,Expected Filename,File Size,File Path,URL
93,FROM HURT TO HIT – BRAHMA (AFRICA CREATIVE DDB SÃO PAULO),Grand Prix,VIMEO,Not Downloaded,ad_093.mp4,-,-,https://vimeo.com/1081566541
94,HEALTH IS – BUPA HEALTH INSURANCE (INITIATIVE MEDIA NEW YORK / MOMENTUM LONDON),Grand Prix,VIMEO,Not Downloaded,ad_094.mp4,-,-,https://vimeo.com/1065929468
95,HEALTH TRACKER – ELEA LABORATORY (VML BUENOS AIRES),Grand Prix,YOUTUBE,Not Downloaded,ad_095.mp4,-,-,https://www.youtube.com/watch?v=uMCZkFghs_w
96,HIGH ENERGY INTERN – FUSION ENERGY DRINK (DAVID MADRID),Grand Prix,VIMEO,Not Downloaded,ad_096.mp4,-,-,https://vimeo.com/1093833122
97,IN HOT WATER – WORLD WILDLIFE FUND (NOMINT LONDON),Grand Prix,VIMEO,Not Downloaded,ad_097.mp4,-,-,https://vimeo.com/1028875237
98,IS IT EVEN A CITY? – VISIT OSLO (NEWSLAB OSLO),Grand Prix,YOUTUBE,Not Downloaded,ad_098.mp4,-,-,https://www.youtube.com/watch?v=8vhD59ac7nw
99,IT’S A CHEETOS THING – CHEETOS (GOODBY SILVERSTEIN & PARTNERS SAN FRANCISCO),Grand Prix,VIMEO,Not Downloaded,ad_099.mp4,-,-,https://vimeo.com/1094791063/08d1ef48b6
101,LAP OF LEGENDS – MICHELOB ULTRA (FCB NEW YORK),Grand Prix,VIMEO,Not Downloaded,ad_101.mp4,-,-,https://vimeo.com/943372451
102,LAY’S BAR CRAWL – LAY’S (SLAP GLOBAL BUENOS AIRES),Grand Prix,YOUTUBE,Not Downloaded,ad_102.mp4,-,-,https://www.youtube.com/watch?v=HHZjLH4UCS0
103,LEARN KOREAN OR ELSE – DUOLINGO (NETFLIX LOS ANGELES),Grand Prix,VIMEO,Not Downloaded,ad_103.mp4,-,-,https://vimeo.com/1043774871
104,LEGACY LAGER – LEGACY AUSTRALIA (VML SYDNEY),Grand Prix,VIMEO,Not Downloaded,ad_104.mp4,-,-,https://vimeo.com/1087794273
105,LIFE DONOR CARD – MASTERCARD (MRM FRANKFURT),Grand Prix,YOUTUBE,Not Downloaded,ad_105.mp4,-,-,https://www.youtube.com/watch?v=pe-7cdkH2dA
106,LIFE QUALITY INSURANCE – GREATER COPENHAGEN REGION (OGILVY COPENHAGEN),Grand Prix,VIMEO,Not Downloaded,ad_106.mp4,-,-,https://vimeo.com/1072467811
107,LONG-TERM – RENAULT (PUBLICIS CONSEIL PARIS),Grand Prix,VIMEO,Not Downloaded,ad_107.mp4,-,-,https://vimeo.com/1094885296/fb7ef83640
108,LOVE CAPTURED – THE EXODUS ROAD (KLICK HEALTH TORONTO),Grand Prix,VIMEO,Not Downloaded,ad_108.mp4,-,-,https://vimeo.com/1092244065
109,MACCIE – MCDONALD’S (TBWA\NEBOKO AMSTERDAM),Grand Prix,VIMEO,Not Downloaded,ad_109.mp4,-,-,https://vimeo.com/1076319737
110,MEET ME AT THE COKE SIGN – COCA-COLA (OGILVY SYDNEY),Grand Prix,VIMEO,Not Downloaded,ad_110.mp4,-,-,https://vimeo.com/1084452770
111,ME FEAT. ME – NOSOTRAS (DDB SANTIAGO),Grand Prix,VIMEO,Not Downloaded,ad_111.mp4,-,-,https://vimeo.com/1093833141
